,Month of absence,Day of the week,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Son,Pet,Body mass index,Absenteeism time in hours,Reason for absence_0,Reason for absence_1,Reason for absence_2,Seasons_1,Seasons_2,Seasons_3,Seasons_4
325,11,3,330,16,4,28,284.031,97,1,0,0,25,0,1,0,0,0,0,0,1
326,11,4,235,11,14,37,284.031,97,0,1,1,29,1,0,1,0,0,0,0,1
327,11,4,118,10,10,37,284.031,97,0,0,0,28,3,0,1,0,0,0,0,1
328,11,5,235,11,14,37,284.031,97,0,1,1,29,2,0,0,1,0,0,0,1
329,11,5,179,51,18,38,284.031,97,0,0,0,31,3,0,0,1,0,0,0,1
330,11,6,246,25,16,41,284.031,97,0,0,0,23,8,0,1,0,0,0,0,1
331,11,6,291,31,12,40,284.031,97,0,1,1,25,4,0,1,0,0,0,0,1
332,11,2,246,25,16,41,284.031,97,0,0,0,23,8,0,1,0,0,0,0,1
333,11,3,179,51,18,38,284.031,97,0,0,0,31,1,0,0,1,0,0,0,1
334,11,4,260,50,11,36,284.031,97,0,4,0,23,8,0,1,0,0,0,0,1
335,11,6,260,50,11,36,284.031,97,0,4,0,23,8,0,1,0,0,0,0,1
336,11,6,378,49,11,36,284.031,97,1,2,4,21,0,1,0,0,0,0,0,1
337,11,3,279,5,14,39,284.031,97,1,2,0,24,0,1,0,0,0,0,0,1
338,11,5,179,51,18,38,284.031,97,0,0,0,31,1,0,0,1,0,0,0,1
339,12,2,225,26,9,28,236.62900000000002,93,0,1,2,24,3,0,1,0,0,0,0,1
340,12,2,179,51,18,38,236.62900000000002,93,0,0,0,31,2,0,0,1,0,0,0,1
341,12,2,179,51,18,38,236.62900000000002,93,0,0,0,31,1,0,0,1,0,0,0,1
342,12,2,235,11,14,37,236.62900000000002,93,0,1,1,29,3,0,0,1,0,0,0,1
343,12,3,118,13,18,50,236.62900000000002,93,0,1,0,31,1,0,0,1,0,0,0,1
344,12,6,260,50,11,36,236.62900000000002,93,0,4,0,23,4,0,0,1,0,0,0,1
345,12,5,246,25,16,41,236.62900000000002,93,0,0,0,23,8,0,1,0,0,0,0,1
346,12,5,179,51,18,38,236.62900000000002,93,0,0,0,31,1,0,0,1,0,0,0,1
347,12,6,179,51,18,38,236.62900000000002,93,0,0,0,31,1,0,0,1,0,0,0,1
348,12,3,179,26,9,30,236.62900000000002,93,0,0,0,19,1,0,0,1,0,0,0,1
349,12,3,118,10,10,37,236.62900000000002,93,0,0,0,28,8,0,0,1,0,0,0,1
350,12,5,235,11,14,37,236.62900000000002,93,0,1,1,29,2,0,0,1,0,0,0,1
351,12,6,179,51,18,38,236.62900000000002,93,0,0,0,31,1,0,0,1,0,0,0,1
352,12,3,235,20,13,43,236.62900000000002,93,0,1,0,38,8,0,1,0,0,1,0,0
353,12,3,235,11,14,37,236.62900000000002,93,0,1,1,29,4,0,1,0,0,1,0,0
354,12,4,260,50,11,36,236.62900000000002,93,0,4,0,23,8,0,0,1,0,1,0,0
355,12,2,157,27,6,29,236.62900000000002,93,0,0,0,22,2,0,0,1,0,1,0,0
356,12,2,179,51,18,38,236.62900000000002,93,0,0,0,31,3,0,0,1,0,1,0,0
357,12,2,289,36,13,33,236.62900000000002,93,0,2,1,30,8,0,1,0,0,1,0,0
358,1,4,225,26,9,28,330.061,100,0,1,2,24,5,0,0,1,0,1,0,0
360,1,2,155,12,14,34,330.061,100,0,2,0,25,2,0,0,1,0,1,0,0
361,1,3,235,11,14,37,330.061,100,0,1,1,29,1,0,1,0,0,1,0,0
362,1,3,155,12,14,34,330.061,100,0,2,0,25,4,0,0,1,0,1,0,0
363,1,2,289,36,13,33,330.061,100,0,2,1,30,8,0,0,1,0,1,0,0
364,1,4,291,31,12,40,330.061,100,0,1,1,25,8,0,1,0,0,1,0,0
365,1,2,235,20,13,43,330.061,100,0,1,0,38,8,0,0,1,0,1,0,0
366,1,2,118,13,18,50,330.061,100,0,1,0,31,4,0,0,1,0,1,0,0
367,1,4,179,51,18,38,330.061,100,0,0,0,31,1,0,0,1,0,1,0,0
368,1,6,179,51,18,38,330.061,100,0,0,0,31,1,0,0,1,0,1,0,0
369,2,3,118,10,10,37,251.81799999999998,96,0,0,0,28,2,0,0,1,0,1,0,0
370,2,4,179,51,18,38,251.81799999999998,96,0,0,0,31,3,0,0,1,0,1,0,0
371,2,4,225,26,9,28,251.81799999999998,96,0,1,2,24,1,0,1,0,0,1,0,0
372,2,6,289,36,13,33,251.81799999999998,96,0,2,1,30,3,0,0,1,0,1,0,0
373,2,6,260,50,11,36,251.81799999999998,96,0,4,0,23,3,0,0,1,0,1,0,0
374,2,6,179,51,18,38,251.81799999999998,96,0,0,0,31,3,0,0,1,0,1,0,0
375,2,2,179,51,18,38,251.81799999999998,96,0,0,0,31,2,0,0,1,0,1,0,0
376,2,4,179,51,18,38,251.81799999999998,96,0,0,0,31,3,0,0,1,0,1,0,0
377,2,5,179,51,18,38,251.81799999999998,96,0,0,0,31,8,0,1,0,0,1,0,0
378,2,5,246,25,16,41,251.81799999999998,96,0,0,0,23,8,0,0,1,0,1,0,0
379,2,6,179,51,18,38,251.81799999999998,96,0,0,0,31,3,0,0,1,0,1,0,0
380,2,2,189,29,13,33,251.81799999999998,96,0,2,2,25,8,0,0,1,0,1,0,0
381,2,2,179,51,18,38,251.81799999999998,96,0,0,0,31,3,0,0,1,0,1,0,0
382,2,3,246,25,16,41,251.81799999999998,96,0,0,0,23,2,0,0,1,0,1,0,0
383,2,3,291,31,12,40,251.81799999999998,96,0,1,1,25,2,0,0,1,0,1,0,0
384,2,4,157,27,6,29,251.81799999999998,96,0,0,0,22,16,0,1,0,0,1,0,0
385,2,4,179,51,18,38,251.81799999999998,96,0,0,0,31,3,0,0,1,0,1,0,0
386,2,6,179,51,18,38,251.81799999999998,96,0,0,0,31,3,0,0,1,0,1,0,0
387,2,6,246,25,16,41,251.81799999999998,96,0,0,0,23,24,0,1,0,0,1,0,0
388,2,4,179,51,18,38,251.81799999999998,96,0,0,0,31,3,0,0,1,0,1,0,0
389,2,6,179,51,18,38,251.81799999999998,96,0,0,0,31,3,0,0,1,0,1,0,0
390,3,3,118,10,10,37,244.387,98,0,0,0,28,8,0,1,0,0,1,0,0
391,3,4,246,25,16,41,244.387,98,0,0,0,23,16,0,1,0,0,1,0,0
392,3,6,246,25,16,41,244.387,98,0,0,0,23,2,0,0,1,0,1,0,0
393,3,6,260,50,11,36,244.387,98,0,4,0,23,4,0,0,1,0,1,0,0
394,3,2,179,51,18,38,244.387,98,0,0,0,31,2,0,0,1,0,1,0,0
395,3,2,235,11,14,37,244.387,98,0,1,1,29,8,0,0,1,0,1,0,0
396,3,3,179,22,17,40,244.387,98,0,2,0,22,8,0,0,1,0,1,0,0
397,3,3,378,49,11,36,244.387,98,0,2,4,21,8,0,0,1,0,1,0,0
398,3,2,179,51,18,38,244.387,98,0,0,0,31,16,0,0,1,0,1,0,0
399,3,4,361,52,3,28,244.387,98,0,1,4,27,8,0,0,1,0,1,0,0
400,3,4,369,17,12,31,244.387,98,1,3,0,25,0,1,0,0,0,1,0,0
401,3,5,235,11,14,37,244.387,98,0,1,1,29,8,0,1,0,0,1,0,0
402,3,6,118,13,18,50,244.387,98,0,1,0,31,2,0,0,1,0,0,1,0
403,3,3,118,13,18,50,244.387,98,0,1,0,31,3,0,1,0,0,0,1,0
404,3,4,118,13,18,50,244.387,98,0,1,0,31,8,0,1,0,0,0,1,0
405,3,5,235,11,14,37,244.387,98,1,1,1,29,0,1,0,0,0,0,1,0
406,3,5,246,25,16,41,244.387,98,1,0,0,23,0,1,0,0,0,0,1,0
407,3,5,118,13,18,50,244.387,98,1,1,0,31,0,1,0,0,0,0,1,0
408,3,6,179,51,18,38,244.387,98,0,0,0,31,8,0,0,1,0,0,1,0
409,3,6,289,36,13,33,244.387,98,0,2,1,30,8,0,0,1,0,0,1,0
410,3,2,260,50,11,36,244.387,98,0,4,0,23,8,0,1,0,0,0,1,0
411,3,3,246,25,16,41,244.387,98,0,0,0,23,2,0,0,1,0,0,1,0
412,4,4,179,51,18,38,239.40900000000002,98,0,0,0,31,4,0,0,1,0,0,1,0
413,4,6,260,50,11,36,239.40900000000002,98,0,4,0,23,3,0,0,1,0,0,1,0
414,4,6,330,16,4,28,239.40900000000002,98,0,0,0,25,4,0,0,1,0,0,1,0
415,4,2,369,17,12,31,239.40900000000002,98,0,3,0,25,4,0,0,1,0,0,1,0
416,4,2,248,25,14,47,239.40900000000002,98,0,2,1,32,4,0,0,1,0,0,1,0
417,4,4,330,16,4,28,239.40900000000002,98,0,0,0,25,8,0,0,1,0,0,1,0
418,4,4,179,51,18,38,239.40900000000002,98,0,0,0,31,8,0,0,1,0,0,1,0
419,4,2,118,13,18,50,239.40900000000002,98,0,1,0,31,1,0,0,1,0,0,1,0
421,4,6,300,26,13,43,239.40900000000002,98,0,2,1,25,8,0,0,1,0,0,1,0
422,4,6,260,50,11,36,239.40900000000002,98,0,4,0,23,4,0,0,1,0,0,1,0
423,4,2,179,51,18,38,239.40900000000002,98,0,0,0,31,4,0,0,1,0,0,1,0
424,4,4,118,10,10,37,239.40900000000002,98,0,0,0,28,2,0,1,0,0,0,1,0
425,5,2,235,20,13,43,246.074,99,0,1,0,38,16,0,1,0,0,0,1,0
426,5,4,248,25,14,47,246.074,99,0,2,1,32,2,0,0,1,0,0,1,0
427,5,2,369,17,12,31,246.074,99,0,3,0,25,8,0,1,0,0,0,1,0
428,5,4,179,26,9,30,246.074,99,0,0,0,19,3,0,0,1,0,0,1,0
429,5,4,179,51,18,38,246.074,99,0,0,0,31,4,0,0,1,0,0,1,0
430,5,5,361,52,3,28,246.074,99,0,1,4,27,1,0,0,1,0,0,1,0
431,5,6,260,50,11,36,246.074,99,0,4,0,23,3,0,0,1,0,0,1,0
432,5,2,179,22,17,40,246.074,99,0,2,0,22,2,0,1,0,0,0,1,0
433,5,2,179,22,17,40,246.074,99,0,2,0,22,3,0,1,0,0,0,1,0
434,5,4,228,14,16,58,246.074,99,0,2,1,22,8,0,1,0,0,0,1,0
435,5,4,225,26,9,28,246.074,99,0,1,2,24,3,0,0,1,0,0,1,0
436,5,6,330,16,4,28,246.074,99,0,0,0,25,8,0,1,0,0,0,1,0
437,5,2,179,26,9,30,246.074,99,0,0,0,19,2,0,0,1,0,0,1,0
438,5,2,118,10,10,37,246.074,99,0,0,0,28,1,0,0,1,0,0,1,0
439,5,2,235,11,14,37,246.074,99,0,1,1,29,8,0,1,0,0,0,1,0
440,5,4,179,26,9,30,246.074,99,0,0,0,19,3,0,0,1,0,0,1,0
441,6,2,118,10,10,37,253.957,95,0,0,0,28,3,0,0,1,0,0,1,0
442,6,2,179,51,18,38,253.957,95,0,0,0,31,3,0,0,1,0,0,1,0
443,6,3,118,10,10,37,253.957,95,0,0,0,28,2,0,0,1,0,0,1,0
444,6,5,225,26,9,28,253.957,95,0,1,2,24,4,0,0,1,0,0,1,0
445,6,6,260,50,11,36,253.957,95,0,4,0,23,4,0,0,1,0,0,1,0
446,6,6,179,51,18,38,253.957,95,1,0,0,31,0,1,0,0,0,0,1,0
448,6,2,179,51,18,38,253.957,95,0,0,0,31,24,0,0,1,0,0,1,0
449,6,3,246,25,16,41,253.957,95,0,0,0,23,3,0,0,1,0,0,1,0
450,6,2,179,51,18,38,253.957,95,0,0,0,31,4,0,0,1,0,0,1,0
451,6,3,235,20,13,43,253.957,95,0,1,0,38,8,0,0,1,0,0,1,0
452,6,2,179,51,18,38,253.957,95,0,0,0,31,2,0,0,1,1,0,0,0
453,6,4,225,26,9,28,253.957,95,0,1,2,24,2,0,0,1,1,0,0,0
454,6,4,118,13,18,50,253.957,95,0,1,0,31,2,0,0,1,1,0,0,0
455,6,4,179,51,18,38,253.957,95,0,0,0,31,8,0,1,0,1,0,0,0
456,6,4,179,26,9,30,253.957,95,0,0,0,19,2,0,1,0,1,0,0,0
457,6,6,246,25,16,41,253.957,95,0,0,0,23,2,0,0,1,1,0,0,0
458,6,3,330,16,4,28,253.957,95,0,0,0,25,1,0,1,0,1,0,0,0
459,6,3,235,11,14,37,253.957,95,0,1,1,29,8,0,1,0,1,0,0,0
460,7,5,179,26,9,30,230.29,92,0,0,0,19,2,0,0,1,1,0,0,0
461,7,5,225,26,9,28,230.29,92,0,1,2,24,4,0,0,1,1,0,0,0
462,7,6,260,50,11,36,230.29,92,0,4,0,23,8,0,1,0,1,0,0,0
463,7,2,268,11,8,33,230.29,92,0,0,0,25,8,0,1,0,1,0,0,0
464,7,6,330,16,4,28,230.29,92,0,0,0,25,8,0,0,1,1,0,0,0
465,7,6,118,10,10,37,230.29,92,0,0,0,28,8,0,0,1,1,0,0,0
466,7,2,260,50,11,36,230.29,92,0,4,0,23,4,0,0,1,1,0,0,0
467,7,3,118,10,10,37,230.29,92,0,0,0,28,8,0,0,1,1,0,0,0
468,7,2,300,26,13,43,230.29,92,0,2,1,25,8,0,1,0,1,0,0,0
469,7,2,235,29,12,48,230.29,92,0,1,5,33,1,0,0,1,1,0,0,0
470,7,3,246,25,16,41,230.29,92,0,0,0,23,2,0,0,1,1,0,0,0
472,7,3,179,51,18,38,230.29,92,0,0,0,31,1,0,0,1,1,0,0,0
473,7,6,118,13,18,50,230.29,92,0,1,0,31,1,0,0,1,1,0,0,0
474,7,6,361,52,3,28,230.29,92,0,1,4,27,8,0,0,1,1,0,0,0
475,7,2,289,36,13,33,230.29,92,0,2,1,30,8,0,0,1,1,0,0,0
476,7,2,235,20,13,43,230.29,92,0,1,0,38,8,0,0,1,1,0,0,0
477,7,3,246,25,16,41,230.29,92,0,0,0,23,2,0,0,1,1,0,0,0
478,7,5,291,31,12,40,230.29,92,0,1,1,25,1,0,0,1,1,0,0,0
479,7,5,279,5,14,39,230.29,92,0,2,0,24,2,0,0,1,1,0,0,0
480,8,5,179,51,18,38,249.797,93,0,0,0,31,4,0,0,1,1,0,0,0
481,8,2,179,22,17,40,249.797,93,0,2,0,22,1,0,0,1,1,0,0,0
482,8,3,246,25,16,41,249.797,93,0,0,0,23,4,0,0,1,1,0,0,0
483,8,3,118,10,10,37,249.797,93,0,0,0,28,4,0,0,1,1,0,0,0
484,8,3,289,36,13,33,249.797,93,0,2,1,30,8,0,0,1,1,0,0,0
485,8,3,235,20,13,43,249.797,93,0,1,0,38,8,0,0,1,1,0,0,0
486,8,5,291,31,12,40,249.797,93,0,1,1,25,4,0,0,1,1,0,0,0
487,8,2,179,51,18,38,249.797,93,0,0,0,31,4,0,0,1,1,0,0,0
488,8,3,179,22,17,40,249.797,93,0,2,0,22,8,0,0,1,1,0,0,0
489,8,5,330,16,4,28,249.797,93,0,0,0,25,16,0,0,1,1,0,0,0
490,8,3,235,11,14,37,249.797,93,0,1,1,29,4,0,0,1,1,0,0,0
491,8,3,246,25,16,41,249.797,93,0,0,0,23,1,0,0,1,1,0,0,0
492,8,3,118,10,10,37,249.797,93,0,0,0,28,5,0,0,1,1,0,0,0
493,8,5,291,31,12,40,249.797,93,0,1,1,25,2,0,0,1,1,0,0,0
494,8,2,260,50,11,36,249.797,93,0,4,0,23,3,0,0,1,1,0,0,0
495,9,3,246,25,16,41,261.756,87,0,0,0,23,1,0,0,1,1,0,0,0
496,9,3,246,25,16,41,261.756,87,0,0,0,23,1,0,0,1,1,0,0,0
497,9,3,118,10,10,37,261.756,87,0,0,0,28,3,0,0,1,1,0,0,0
498,9,3,155,12,14,34,261.756,87,0,2,0,25,2,0,0,1,1,0,0,0
499,9,5,291,31,12,40,261.756,87,0,1,1,25,2,0,0,1,1,0,0,0
500,9,6,179,26,9,30,261.756,87,0,0,0,19,8,0,0,1,1,0,0,0
501,9,6,248,25,14,47,261.756,87,0,2,1,32,1,0,0,1,1,0,0,0
502,9,2,179,51,18,38,261.756,87,0,0,0,31,4,0,0,1,1,0,0,0
503,9,4,225,26,9,28,261.756,87,0,1,2,24,1,0,0,1,1,0,0,0
504,9,2,179,26,9,30,261.756,87,0,0,0,19,2,0,0,1,1,0,0,0
505,9,3,369,17,12,31,261.756,87,0,3,0,25,8,0,0,1,0,0,0,1
506,9,3,361,52,3,28,261.756,87,0,1,4,27,8,0,0,1,0,0,0,1
507,10,5,289,48,29,49,284.853,91,0,0,2,36,1,0,1,0,0,0,0,1
508,10,5,235,16,8,32,284.853,91,0,0,0,25,3,0,1,0,0,0,0,1
509,10,6,246,25,16,41,284.853,91,0,0,0,23,8,0,0,1,0,0,0,1
510,10,4,289,48,29,49,284.853,91,0,0,2,36,3,0,1,0,0,0,0,1
511,10,4,291,31,12,40,284.853,91,0,1,1,25,2,0,0,1,0,0,0,1
512,10,3,118,10,10,37,284.853,91,0,0,0,28,2,0,0,1,0,0,0,1
513,10,5,289,48,29,49,284.853,91,0,0,2,36,2,0,0,1,0,0,0,1
514,10,6,291,31,12,40,284.853,91,0,1,1,25,1,0,0,1,0,0,0,1
515,10,3,225,26,9,28,284.853,91,0,1,2,24,2,0,0,1,0,0,0,1
516,10,3,369,17,12,31,284.853,91,0,3,0,25,8,0,0,1,0,0,0,1
517,10,3,369,17,12,31,284.853,91,0,3,0,25,3,0,0,1,0,0,0,1
518,10,3,225,26,9,28,284.853,91,0,1,2,24,4,0,0,1,0,0,0,1
519,10,3,369,17,12,31,284.853,91,0,3,0,25,8,0,0,1,0,0,0,1
520,10,4,179,51,18,38,284.853,91,0,0,0,31,3,0,0,1,0,0,0,1
521,10,4,228,14,16,58,284.853,91,0,2,1,22,1,0,1,0,0,0,0,1
522,10,4,291,31,12,40,284.853,91,0,1,1,25,1,0,0,1,0,0,0,1
523,10,5,369,17,12,31,284.853,91,0,3,0,25,8,0,1,0,0,0,0,1
524,10,5,225,26,9,28,284.853,91,0,1,2,24,1,0,1,0,0,0,0,1
525,10,6,369,17,12,31,284.853,91,0,3,0,25,8,0,1,0,0,0,0,1
526,10,6,225,26,9,28,284.853,91,0,1,2,24,3,0,1,0,0,0,0,1
527,10,2,189,29,13,33,284.853,91,0,2,2,25,8,0,0,1,0,0,0,1
528,10,2,235,16,8,32,284.853,91,0,0,0,25,8,0,1,0,0,0,0,1
529,10,2,248,25,14,47,284.853,91,0,2,1,32,8,0,1,0,0,0,0,1
530,10,2,225,26,9,28,284.853,91,1,1,2,24,0,1,0,0,0,0,0,1
531,10,3,225,26,9,28,284.853,91,0,1,2,24,3,0,1,0,0,0,0,1
532,11,3,179,51,18,38,268.519,93,0,0,0,31,1,0,1,0,0,0,0,1
533,11,4,118,10,10,37,268.519,93,0,0,0,28,3,0,0,1,0,0,0,1
534,11,4,330,16,4,28,268.519,93,0,0,0,25,24,0,1,0,0,0,0,1
535,11,6,179,51,18,38,268.519,93,0,0,0,31,1,0,0,1,0,0,0,1
536,11,3,118,10,10,37,268.519,93,0,0,0,28,8,0,1,0,0,0,0,1
537,11,4,289,36,13,33,268.519,93,0,2,1,30,8,0,0,1,0,0,0,1
538,11,6,235,16,8,32,268.519,93,0,0,0,25,8,0,1,0,0,0,0,1
539,11,6,225,26,9,28,268.519,93,0,1,2,24,4,0,0,1,0,0,0,1
540,11,3,361,52,3,28,268.519,93,0,1,4,27,8,0,0,1,0,0,0,1
541,11,4,291,31,12,40,268.519,93,0,1,1,25,2,0,0,1,0,0,0,1
542,11,5,118,10,10,37,268.519,93,0,0,0,28,2,0,1,0,0,0,0,1
543,11,5,225,26,9,28,268.519,93,0,1,2,24,3,0,1,0,0,0,0,1
544,11,2,179,51,18,38,268.519,93,0,0,0,31,1,0,0,1,0,0,0,1
545,11,2,118,10,10,37,268.519,93,0,0,0,28,8,0,0,1,0,0,0,1
546,11,3,118,10,10,37,268.519,93,0,0,0,28,8,0,1,0,0,0,0,1
547,11,3,225,26,9,28,268.519,93,0,1,2,24,2,0,0,1,0,0,0,1
548,11,3,291,31,12,40,268.519,93,1,1,1,25,0,1,0,0,0,0,0,1
549,11,4,289,36,13,33,268.519,93,1,2,1,30,0,1,0,0,0,0,0,1
550,11,5,248,25,14,47,268.519,93,0,2,1,32,4,0,1,0,0,0,0,1
551,11,5,235,20,13,43,268.519,93,1,1,0,38,0,1,0,0,0,0,0,1
552,11,6,225,26,9,28,268.519,93,0,1,2,24,2,0,0,1,0,0,0,1
553,11,6,369,17,12,31,268.519,93,0,3,0,25,8,0,0,1,0,0,0,1
554,11,2,361,52,3,28,268.519,93,0,1,4,27,2,0,0,1,0,0,0,1
556,12,4,291,31,12,40,280.54900000000004,98,0,1,1,25,1,0,0,1,0,0,0,1
557,12,4,225,26,9,28,280.54900000000004,98,0,1,2,24,3,0,0,1,0,0,0,1
558,12,6,179,26,9,30,280.54900000000004,98,0,0,0,19,1,0,1,0,0,0,0,1
559,12,6,225,26,9,28,280.54900000000004,98,0,1,2,24,3,0,0,1,0,0,0,1
560,12,4,225,26,9,28,280.54900000000004,98,0,1,2,24,3,0,0,1,0,0,0,1
561,12,5,361,52,3,28,280.54900000000004,98,0,1,4,27,4,0,1,0,0,0,0,1
562,12,6,179,22,17,40,280.54900000000004,98,0,2,0,22,2,0,1,0,0,0,0,1
563,12,6,235,20,13,43,280.54900000000004,98,0,1,0,38,8,0,0,1,0,0,0,1
564,12,2,233,51,1,31,280.54900000000004,98,0,1,8,21,8,0,1,0,0,0,0,1
565,12,3,179,26,9,30,280.54900000000004,98,0,0,0,19,16,0,1,0,0,0,0,1
566,12,3,225,26,9,28,280.54900000000004,98,0,1,2,24,2,0,0,1,0,0,0,1
567,12,5,225,26,9,28,280.54900000000004,98,0,1,2,24,3,0,0,1,0,0,0,1
568,12,2,225,26,9,28,280.54900000000004,98,0,1,2,24,2,0,0,1,0,0,0,1
570,1,2,179,26,9,30,313.532,96,0,0,0,19,24,0,1,0,0,1,0,0
571,1,5,179,26,9,30,313.532,96,0,0,0,19,16,0,1,0,0,1,0,0
572,1,5,179,22,17,40,313.532,96,0,2,0,22,2,0,0,1,0,1,0,0
573,1,6,179,22,17,40,313.532,96,0,2,0,22,2,0,0,1,0,1,0,0
574,1,2,179,26,9,30,313.532,96,0,0,0,19,3,0,1,0,0,1,0,0
575,1,4,179,22,17,40,313.532,96,0,2,0,22,2,0,0,1,0,1,0,0
576,1,5,289,48,29,49,313.532,96,0,0,2,36,8,0,1,0,0,1,0,0
577,1,6,179,22,17,40,313.532,96,0,2,0,22,3,0,1,0,0,1,0,0
578,1,2,179,26,9,30,313.532,96,0,0,0,19,2,0,0,1,0,1,0,0
579,1,3,155,12,14,34,313.532,96,0,2,0,25,8,0,1,0,0,1,0,0
580,1,4,179,26,9,30,313.532,96,0,0,0,19,2,0,0,1,0,1,0,0
581,1,4,179,51,18,38,313.532,96,0,0,0,31,3,0,0,1,0,1,0,0
582,1,4,289,36,13,33,313.532,96,0,2,1,30,8,0,1,0,0,1,0,0
583,1,5,179,51,18,38,313.532,96,0,0,0,31,3,0,0,1,0,1,0,0
584,1,6,179,51,18,38,313.532,96,0,0,0,31,2,0,0,1,0,1,0,0
585,2,3,179,51,18,38,264.249,97,0,0,0,31,8,0,1,0,0,1,0,0
586,2,3,225,26,9,28,264.249,97,0,1,2,24,3,0,0,1,0,1,0,0
587,2,4,248,25,14,47,264.249,97,0,2,1,32,8,0,1,0,0,1,0,0
588,2,4,179,51,18,38,264.249,97,0,0,0,31,2,0,0,1,0,1,0,0
589,2,5,225,26,9,28,264.249,97,0,1,2,24,3,0,0,1,0,1,0,0
590,2,5,179,51,18,38,264.249,97,0,0,0,31,2,0,0,1,0,1,0,0
591,2,5,179,26,9,30,264.249,97,0,0,0,19,2,0,0,1,0,1,0,0
592,2,6,225,15,15,41,264.249,97,0,2,2,28,2,0,0,1,0,1,0,0
593,2,6,179,51,18,38,264.249,97,0,0,0,31,2,0,0,1,0,1,0,0
594,2,2,233,51,1,31,264.249,97,0,1,8,21,2,0,1,0,0,1,0,0
595,2,2,179,51,18,38,264.249,97,0,0,0,31,2,0,0,1,0,1,0,0
596,2,3,225,26,9,28,264.249,97,0,1,2,24,8,0,1,0,0,1,0,0
597,2,4,179,51,18,38,264.249,97,0,0,0,31,3,0,0,1,0,1,0,0
598,2,5,179,51,18,38,264.249,97,0,0,0,31,3,0,0,1,0,1,0,0
599,2,5,225,26,9,28,264.249,97,0,1,2,24,3,0,0,1,0,1,0,0
600,2,5,179,26,9,30,264.249,97,0,0,0,19,2,0,1,0,0,1,0,0
601,2,6,179,22,17,40,264.249,97,0,2,0,22,2,0,0,1,0,1,0,0
602,2,6,179,51,18,38,264.249,97,0,0,0,31,3,0,0,1,0,1,0,0
603,2,4,233,51,1,31,264.249,97,0,1,8,21,3,0,1,0,0,1,0,0
604,2,4,179,26,9,30,264.249,97,0,0,0,19,2,0,0,1,0,1,0,0
605,2,4,179,51,18,38,264.249,97,0,0,0,31,2,0,0,1,0,1,0,0
606,2,5,179,51,18,38,264.249,97,0,0,0,31,8,0,1,0,0,1,0,0
607,2,6,179,51,18,38,264.249,97,0,0,0,31,2,0,0,1,0,1,0,0
608,2,2,155,12,14,34,264.249,97,0,2,0,25,5,0,0,1,0,1,0,0
609,2,2,235,16,8,32,264.249,97,0,0,0,25,3,0,0,1,0,1,0,0
610,2,2,179,51,18,38,264.249,97,0,0,0,31,2,0,0,1,0,1,0,0
611,2,2,225,26,9,28,264.249,97,0,1,2,24,2,0,1,0,0,1,0,0
612,2,3,179,51,18,38,264.249,97,0,0,0,31,2,0,0,1,0,1,0,0
613,2,3,248,25,14,47,264.249,97,0,2,1,32,2,0,0,1,0,1,0,0
614,2,3,225,26,9,28,264.249,97,0,1,2,24,2,0,0,1,0,1,0,0
615,2,4,179,51,18,38,264.249,97,0,0,0,31,2,0,0,1,0,1,0,0
616,2,5,179,51,18,38,264.249,97,0,0,0,31,2,0,0,1,0,1,0,0
617,2,6,235,16,8,32,264.249,97,0,0,0,25,2,0,0,1,0,1,0,0
618,3,2,179,51,18,38,222.196,99,0,0,0,31,2,0,0,1,0,1,0,0
619,3,2,248,25,14,47,222.196,99,0,2,1,32,2,0,0,1,0,1,0,0
620,3,3,228,14,16,58,222.196,99,0,2,1,22,3,0,0,1,0,1,0,0
621,3,3,248,25,14,47,222.196,99,0,2,1,32,3,0,0,1,0,1,0,0
623,3,4,179,51,18,38,222.196,99,0,0,0,31,2,0,0,1,0,1,0,0
624,3,5,225,26,9,28,222.196,99,0,1,2,24,2,0,0,1,0,1,0,0
625,3,5,179,51,18,38,222.196,99,0,0,0,31,3,0,0,1,0,1,0,0
626,3,5,225,26,9,28,222.196,99,0,1,2,24,2,0,0,1,0,1,0,0
627,3,6,179,26,9,30,222.196,99,0,0,0,19,3,0,0,1,0,1,0,0
628,3,2,235,16,8,32,222.196,99,0,0,0,25,3,0,0,1,0,1,0,0
629,3,2,361,52,3,28,222.196,99,0,1,4,27,8,0,1,0,0,1,0,0
630,3,3,179,51,18,38,222.196,99,0,0,0,31,8,0,1,0,0,1,0,0
631,3,4,179,51,18,38,222.196,99,0,0,0,31,2,0,0,1,0,1,0,0
632,3,5,179,51,18,38,222.196,99,0,0,0,31,3,0,0,1,0,1,0,0
633,3,6,179,26,9,30,222.196,99,0,0,0,19,2,0,0,1,0,1,0,0
634,3,2,179,51,18,38,222.196,99,0,0,0,31,4,0,1,0,0,1,0,0
635,3,2,248,25,14,47,222.196,99,0,2,1,32,2,0,1,0,0,1,0,0
636,3,2,179,51,18,38,222.196,99,0,0,0,31,3,0,0,1,0,1,0,0
637,3,2,225,26,9,28,222.196,99,0,1,2,24,8,0,1,0,0,1,0,0
638,3,3,179,51,18,38,222.196,99,0,0,0,31,2,0,0,1,0,1,0,0
639,3,4,289,36,13,33,222.196,99,0,2,1,30,8,0,0,1,0,1,0,0
640,3,4,228,14,16,58,222.196,99,0,2,1,22,2,0,0,1,0,1,0,0
